kernel_radius,b,c,h,w,max_fn_sec,max_fn_value,luca_fn_sec,luca_fn_value
2,16,8,128,128,,,0.002145008000013604,3.635883331298828e-06
2,16,16,4,4,,,0.0007181210000339888,0.00400543212890625
2,16,16,8,8,,,0.0007512410000458658,0.0009212493896484375
2,16,16,16,16,,,0.0006981139999879815,0.00024819374084472656
2,16,16,32,32,,,0.0007325820000119165,6.121397018432617e-05
2,16,16,64,64,,,0.0013220359999763787,1.5497207641601562e-05
2,16,16,128,128,,,0.003840746999969724,3.6954879760742188e-06
2,16,32,4,4,,,0.000724715999979253,0.003948211669921875
2,16,32,8,8,,,0.0007319150000171248,0.000972747802734375
2,16,32,16,16,,,0.0007466870000030212,0.00024509429931640625
2,16,32,32,32,,,0.0009203600000091683,6.0558319091796875e-05
2,16,32,64,64,,,0.0022175480000328207,1.5556812286376953e-05
2,16,32,128,128,,,0.00731046900000365,3.874301910400391e-06
2,16,64,4,4,,,0.000748975000021801,0.00390625
2,16,64,8,8,,,0.0007439519999934419,0.0009765625
2,16,64,16,16,,,0.0007318550000263713,0.00024330615997314453
2,16,64,32,32,,,0.0012434249999841995,6.204843521118164e-05
2,16,64,64,64,,,0.0038375459999997474,1.52587890625e-05
2,16,64,128,128,,,0.014258514000005107,3.814697265625e-06
2,16,128,4,4,,,0.000732105999986743,0.0038967132568359375
2,16,128,8,8,,,0.0007114360000173292,0.000980377197265625
2,16,128,16,16,,,0.0009313439999800721,0.0002460479736328125
2,16,128,32,32,,,0.002169655999978204,6.085634231567383e-05
2,16,128,64,64,,,0.00708077100000537,1.52587890625e-05
2,16,128,128,128,,,0.027996527999960108,3.814697265625e-06
2,32,4,4,4,,,0.0008196539999971719,0.0017461776733398438
2,32,4,8,8,,,0.0008148750000032123,0.0004372596740722656
2,32,4,16,16,,,0.0007798139999977138,9.447336196899414e-05
2,32,4,32,32,,,0.0008011790000068686,2.872943878173828e-05
2,32,4,64,64,,,0.0010667689999763752,8.225440979003906e-06
2,32,4,128,128,,,0.0021258200000033867,1.5497207641601562e-06
2,32,8,4,4,,,0.0008204939999814087,0.0019197463989257812
2,32,8,8,8,,,0.0008186430000023392,0.0004813671112060547
2,32,8,16,16,,,0.001044798999998875,0.00013327598571777344
2,32,8,32,32,,,0.0009362050000163435,3.170967102050781e-05
2,32,8,64,64,,,0.0014693739999529498,7.092952728271484e-06
2,32,8,128,128,,,0.0038994089999846437,1.9073486328125e-06
2,32,16,4,4,,,0.0008014539999976478,0.0019683837890625
2,32,16,8,8,,,0.000821524999992107,0.00047135353088378906
2,32,16,16,16,,,0.0008116100000279403,0.0001232624053955078
2,32,16,32,32,,,0.001072714999963864,3.0517578125e-05
2,32,16,64,64,,,0.002240866000022379,7.748603820800781e-06
2,32,16,128,128,,,0.007297792999963804,1.9073486328125e-06
2,32,32,4,4,,,0.0007992409999815209,0.001956939697265625
2,32,32,8,8,,,0.0008091139999919505,0.0004968643188476562
2,32,32,16,16,,,0.000838893000036478,0.00012290477752685547
2,32,32,32,32,,,0.0014620110000009845,2.956390380859375e-05
2,32,32,64,64,,,0.004057950999992954,7.808208465576172e-06
2,32,32,128,128,,,0.014398376999963602,1.9669532775878906e-06
2,32,64,4,4,,,0.0008064149999995607,0.0019474029541015625
2,32,64,8,8,,,0.000784381000016765,0.00048661231994628906
2,32,64,16,16,,,0.0010537999999655767,0.00012135505676269531
2,32,64,32,32,,,0.0021979119999855357,3.0875205993652344e-05
2,32,64,64,64,,,0.0072876250000035725,7.68899917602539e-06
2,32,64,128,128,,,0.028228222999985064,1.9073486328125e-06
2,32,128,4,4,,,0.0008290830000419191,0.0019550323486328125
2,32,128,8,8,,,0.0008679569999685555,0.00048804283142089844
2,32,128,16,16,,,0.0014701029999741877,0.0001220703125
2,32,128,32,32,,,0.00401260699999284,3.0279159545898438e-05
2,32,128,64,64,,,0.014056910000022071,7.569789886474609e-06
2,32,128,128,128,,,0.055962325999985296,1.9073486328125e-06
2,64,4,4,4,,,0.0009929409999926975,0.0010128021240234375
2,64,4,8,8,,,0.0009585249999872758,0.0002281665802001953
2,64,4,16,16,,,0.0010620910000511685,5.882978439331055e-05
2,64,4,32,32,,,0.0013048000000139837,1.4424324035644531e-05
2,64,4,64,64,,,0.001814319000004616,3.874301910400391e-06
2,64,4,128,128,,,0.003813002000015331,1.1324882507324219e-06
2,64,8,4,4,,,0.000959137999984705,0.0008921623229980469
2,64,8,8,8,,,0.0009683380000069519,0.0002397298812866211
2,64,8,16,16,,,0.0011148849999926824,6.091594696044922e-05
2,64,8,32,32,,,0.00148356900001545,1.537799835205078e-05
2,64,8,64,64,,,0.0026203040000041256,3.6954879760742188e-06
2,64,8,128,128,,,0.007393791999959376,8.940696716308594e-07
2,64,16,4,4,,,0.0013480829999821253,0.0009503364562988281
2,64,16,8,8,,,0.0012031790000150977,0.0002415180206298828
2,64,16,16,16,,,0.0012738339999600612,6.181001663208008e-05
2,64,16,32,32,,,0.00196376000002374,1.5676021575927734e-05
2,64,16,64,64,,,0.004163884000035978,3.874301910400391e-06
2,64,16,128,128,,,0.014187292000030993,9.5367431640625e-07
