kernel_radius,b,c,h,w,max_fn_sec,max_fn_value,luca_fn_sec,luca_fn_value
2,4,128,16,16,,,0.0006483459999913066,0.0189971923828125
2,4,128,32,32,,,0.0008176189999744565,0.005828857421875
2,4,128,64,64,,,0.002136517999986154,0.0015306472778320312
2,4,128,128,128,,,0.007950494999988678,0.0003802776336669922
2,8,4,4,4,,,0.0006149060000097961,0.060089111328125
2,8,4,8,8,,,0.0006438290000119196,0.0152587890625
2,8,4,16,16,,,0.0006090109999945525,0.0028324127197265625
2,8,4,32,32,,,0.0006813079999687943,0.0008869171142578125
2,8,4,64,64,,,0.0006763019999880271,0.0002841949462890625
2,8,4,128,128,,,0.0007748849999984486,8.96453857421875e-05
2,8,8,4,4,,,0.0006420469999852685,0.07745361328125
2,8,8,8,8,,,0.0006105230000343909,0.0174407958984375
2,8,8,16,16,,,0.0006517150000036054,0.004791259765625
2,8,8,32,32,,,0.0006977549999760413,0.0012989044189453125
2,8,8,64,64,,,0.0006474589999925229,0.0004439353942871094
2,8,8,128,128,,,0.0012564549999751762,0.00011390447616577148
2,8,16,4,4,,,0.0006014500000333101,0.12188720703125
2,8,16,8,8,,,0.0006706529999860322,0.023651123046875
2,8,16,16,16,,,0.000648119000004499,0.00628662109375
2,8,16,32,32,,,0.0006732929999770931,0.0014553070068359375
2,8,16,64,64,,,0.0007638980000024276,0.0005464553833007812
2,8,16,128,128,,,0.0022144320000165862,9.959936141967773e-05
2,8,32,4,4,,,0.0007013189999725,0.108642578125
2,8,32,8,8,,,0.0006463789999884284,0.038421630859375
2,8,32,16,16,,,0.000645052000038504,0.007415771484375
2,8,32,32,32,,,0.0006727379999915684,0.001773834228515625
2,8,32,64,64,,,0.001274110999986533,0.00044727325439453125
2,8,32,128,128,,,0.004120519000025524,0.00012683868408203125
2,8,64,4,4,,,0.0006863739999971585,0.130615234375
2,8,64,8,8,,,0.0006020829999897614,0.05084228515625
2,8,64,16,16,,,0.0007254829999965295,0.0091552734375
2,8,64,32,32,,,0.0007586039999978311,0.0028591156005859375
2,8,64,64,64,,,0.0021871969999551766,0.0005445480346679688
2,8,64,128,128,,,0.008028921999994054,0.00015056133270263672
2,8,128,4,4,,,0.0006839999999783686,0.15185546875
2,8,128,8,8,,,0.0006672630000252866,0.056243896484375
2,8,128,16,16,,,0.0006733559999929639,0.0108642578125
2,8,128,32,32,,,0.00128167799999801,0.0024871826171875
2,8,128,64,64,,,0.004016881000040939,0.000720977783203125
2,8,128,128,128,,,0.014090272000032655,0.00016880035400390625
2,16,4,4,4,,,0.000697424999998475,0.026763916015625
2,16,4,8,8,,,0.000644351000005372,0.00785064697265625
2,16,4,16,16,,,0.0007115589999671101,0.0021457672119140625
2,16,4,32,32,,,0.0006792239999526828,0.0007696151733398438
2,16,4,64,64,,,0.0006526639999719919,0.0001348257064819336
2,16,4,128,128,,,0.0011153510000099232,3.319978713989258e-05
2,16,8,4,4,,,0.0006939159999888034,0.038421630859375
2,16,8,8,8,,,0.0006598290000283669,0.01001739501953125
2,16,8,16,16,,,0.0006816270000058466,0.002582550048828125
2,16,8,32,32,,,0.0006545049999999719,0.0005459785461425781
2,16,8,64,64,,,0.0008217570000397245,0.00011444091796875
2,16,8,128,128,,,0.002046182999947632,3.8683414459228516e-05
2,16,16,4,4,,,0.0006468189999964125,0.050933837890625
2,16,16,8,8,,,0.000689620000002833,0.015289306640625
2,16,16,16,16,,,0.0006360320000453612,0.0027103424072265625
2,16,16,32,32,,,0.0006751209999720231,0.0008020401000976562
2,16,16,64,64,,,0.001220304999947075,0.0001875162124633789
2,16,16,128,128,,,0.003728105999982745,4.935264587402344e-05
2,16,32,4,4,,,0.0010929520000217963,0.0628662109375
2,16,32,8,8,,,0.000961329000006117,0.015960693359375
2,16,32,16,16,,,0.000878688999989663,0.00426483154296875
2,16,32,32,32,,,0.0007580260000281669,0.0009274482727050781
2,16,32,64,64,,,0.0021220489999791425,0.0001932382583618164
2,16,32,128,128,,,0.007207361000041601,5.894899368286133e-05
2,16,64,4,4,,,0.0006700320000163629,0.08062744140625
2,16,64,8,8,,,0.0006882729999801995,0.019195556640625
2,16,64,16,16,,,0.00069046799995931,0.004489898681640625
2,16,64,32,32,,,0.0011512900000525406,0.001155853271484375
2,16,64,64,64,,,0.0037372559999653276,0.0002982616424560547
2,16,64,128,128,,,0.014159072999973432,8.779764175415039e-05
2,16,128,4,4,,,0.0007027160000347976,0.07611083984375
2,16,128,8,8,,,0.000672769999994216,0.021636962890625
2,16,128,16,16,,,0.0008462559999884434,0.00470733642578125
2,16,128,32,32,,,0.0020732699999825854,0.0012445449829101562
2,16,128,64,64,,,0.006985256999996636,0.000316619873046875
2,16,128,128,128,,,0.02794662500002687,8.118152618408203e-05
2,32,4,4,4,,,0.0008295079999811605,0.01358795166015625
2,32,4,8,8,,,0.0007558080000080736,0.0029811859130859375
