kernel_radius,b,c,h,w,max_fn_sec,max_fn_value,luca_fn_sec,luca_fn_value
2,128,4,16,16,0.0599037150022923,3.6656856536865234e-05,,
2,128,4,32,32,0.059180029998969985,8.940696716308594e-06,,
2,128,4,64,64,0.06643009799881838,2.0265579223632812e-06,,
2,128,4,128,128,0.06731492899780278,4.76837158203125e-07,,
2,128,8,4,4,0.2138991489991895,0.0011625289916992188,,
2,128,8,8,8,0.2120118860002549,0.00017893314361572266,,
2,128,8,16,16,0.22672743700240972,3.641843795776367e-05,,
2,128,8,32,32,0.23611344399978407,7.808208465576172e-06,,
2,128,8,64,64,0.2328427169995848,1.9669532775878906e-06,,
2,128,8,128,128,0.22695741699862992,4.76837158203125e-07,,
2,128,16,4,4,0.8024161150024156,0.001132965087890625,,
2,128,16,8,8,0.8029864419986552,0.00017881393432617188,,
2,128,16,16,16,0.8074877210019622,3.427267074584961e-05,,
2,128,16,32,32,0.8043350420011848,8.046627044677734e-06,,
2,128,16,64,64,0.8910221799997089,1.9669532775878906e-06,,
2,128,16,128,128,0.868681681000453,5.364418029785156e-07,,
2,128,32,4,4,3.147313168999972,0.0011968612670898438,,
2,128,32,8,8,3.161576849000994,0.00017118453979492188,,
2,128,32,16,16,3.1806226629996672,3.594160079956055e-05,,
2,128,32,32,32,3.129714819999208,8.225440979003906e-06,,
2,128,32,64,64,3.2331013290022383,2.0265579223632812e-06,,
2,128,32,128,128,3.239260237001872,4.76837158203125e-07,,
2,128,64,4,4,12.066672157001449,0.0011701583862304688,,
2,128,64,8,8,13.101562776999344,0.0001747608184814453,,
2,128,64,16,16,13.869089263000205,3.635883331298828e-05,,
2,128,64,32,32,14.030983250002464,8.285045623779297e-06,,
2,128,64,64,64,15.30200962500021,1.9669532775878906e-06,,
2,128,64,128,128,14.216693958001997,4.76837158203125e-07,,
2,128,128,4,4,53.93190554499961,0.0011749267578125,,
2,128,128,8,8,53.45436097499987,0.00017464160919189453,,
2,128,128,16,16,52.55785249300243,3.612041473388672e-05,,
2,128,128,32,32,51.75737397299963,8.285045623779297e-06,,
2,128,128,64,64,56.036016742000356,1.9669532775878906e-06,,
2,128,128,128,128,56.154132857998775,4.76837158203125e-07,,
