kernel_radius, b  , c  , h  , w  , luca_fn_sec       , luca_fn_value         , max_fn_sec         , max_fn_value
            2,  16,   4,  32,  32, 0.0007453940000345, 6.717443466186523e-05 ,  0.063127663997875 , 7.31348991394043e-05
            2,  16,   4,  64,  64, 0.0007403690000273, 1.4185905456542969e-05,  0.0563886029995046, 1.3589859008789062e-05
            2,  16,   4, 128, 128, 0.0012353960000268, 4.410743713378906e-06 ,  0.0728942640016612, 3.337860107421875e-06
            2,  16,   8,   4,   4, 0.0007506779999744, 0.0035686492919921    ,  0.215473958000075 , 0.0094070434570312
            2,  16,   8,   8,   8, 0.0007100540000237, 0.0009684562683105    ,  0.2157093780006107, 0.0014095306396484
            2,  16,   8,  16,  16, 0.0007359119999819, 0.0002440214157104    ,  0.2208918389987957, 0.0002713203430175
            2,  16,   8,  32,  32, 0.0007296559999758, 5.710124969482422e-05 ,  0.2090005280006153, 6.765127182006836e-05
            2,  16,   8,  64,  64, 0.0009086460000276, 1.424551010131836e-05 ,  0.2141939799985266, 1.7344951629638672e-05
            2,  16,   8, 128, 128, 0.0021450080000136, 3.635883331298828e-06 ,  0.2285097529966151, 3.6954879760742183e-06
            2,  16,  16,   4,   4, 0.0007181210000339, 0.0040054321289062    ,  0.8281975680001779, 0.009002685546875
            2,  16,  16,   8,   8, 0.0007512410000458, 0.0009212493896484    ,  0.8347168420004891, 0.0013494491577148
            2,  16,  16,  16,  16, 0.0006981139999879, 0.0002481937408447    ,  0.816385583999363 , 0.0002882480621337
            2,  16,  16,  32,  32, 0.0007325820000119, 6.121397018432617e-05 ,  0.8084140899991326, 6.371736526489258e-05
            2,  16,  16,  64,  64, 0.0013220359999763, 1.5497207641601562e-05,  0.8295002339982602, 1.5556812286376953e-05
            2,  16,  16, 128, 128, 0.0038407469999697, 3.6954879760742183e-06,  0.9034723259974272, 3.933906555175781e-06
            2,  16,  32,   4,   4, 0.0007247159999792, 0.0039482116699218    ,  3.0539687169984973, 0.0095291137695312
            2,  16,  32,   8,   8, 0.0007319150000171, 0.0009727478027343    ,  3.113312732999475 , 0.0014171600341796
            2,  16,  32,  16,  16, 0.000746687000003 , 0.0002450942993164    ,  3.1258465989994875, 0.0002915859222412
            2,  16,  32,  32,  32, 0.0009203600000091, 6.055831909179688e-05 ,  3.564348001000326 , 6.622076034545898e-05
            2,  16,  32,  64,  64, 0.0022175480000328, 1.5556812286376953e-05,  3.1548625549985445, 1.5914440155029297e-05
            2,  16,  32, 128, 128, 0.0073104690000036, 3.874301910400391e-06 ,  3.5061992649971216, 3.993511199951172e-06
            2,  16,  64,   4,   4, 0.0007489750000218, 0.00390625            , 12.819368685999509 , 0.0094451904296875
            2,  16,  64,   8,   8, 0.0007439519999934, 0.0009765625          , 12.277401248000388 , 0.0013952255249023
            2,  16,  64,  16,  16, 0.0007318550000263, 0.0002433061599731    , 12.695771020000391 , 0.000288963317871
            2,  16,  64,  32,  32, 0.0012434249999841, 6.204843521118164e-05 , 12.497692429999006 , 6.67572021484375e-05
            2,  16,  64,  64,  64, 0.0038375459999997, 1.52587890625e-05     , 12.705618575997503 , 1.6033649444580078e-05
            2,  16,  64, 128, 128, 0.0142585140000051, 3.814697265625e-06    , 13.366306708001504 , 3.933906555175781e-06
            2,  16, 128,   4,   4, 0.0007321059999867, 0.0038967132568359    , 53.9328302449976   , 0.009552001953125
            2,  16, 128,   8,   8, 0.0007114360000173, 0.0009803771972656    , 47.64821503699932  , 0.0013952255249023
            2,  16, 128,  16,  16, 0.00093134399998  , 0.0002460479736328    , 46.841672732000006 , 0.0002894401550292
            2,  16, 128,  32,  32, 0.0021696559999782, 6.085634231567383e-05 , 45.33022223700027  , 6.586313247680664e-05
            2,  16, 128,  64,  64, 0.0070807710000053, 1.52587890625e-05     , 45.84797659900141  , 1.5914440155029297e-05
            2,  16, 128, 128, 128, 0.0279965279999601, 3.814697265625e-06    , 51.30963892900036  , 3.874301910400391e-06
            2,  32,   4,   4,   4, 0.0008196539999971, 0.0017461776733398    ,  0.0631551719998242, 0.0048484802246093
            2,  32,   4,   8,   8, 0.0008148750000032, 0.0004372596740722    ,  0.0553665689985791, 0.000655174255371
            2,  32,   4,  16,  16, 0.0007798139999977, 9.447336196899414e-05 ,  0.058661558003223 , 0.0001313686370849
            2,  32,   4,  32,  32, 0.0008011790000068, 2.872943878173828e-05 ,  0.0635262830001011, 3.039836883544922e-05
            2,  32,   4,  64,  64, 0.0010667689999763, 8.225440979003906e-06 ,  0.0578063550019578, 9.059906005859377e-06
            2,  32,   4, 128, 128, 0.0021258200000033, 1.5497207641601562e-06,  0.0572815609993995, 2.026557922363281e-06
            2,  32,   8,   4,   4, 0.0008204939999814, 0.0019197463989257    ,  0.2185924110017367, 0.0042076110839843
            2,  32,   8,   8,   8, 0.0008186430000023, 0.000481367111206     ,  0.2185319700001855, 0.0007271766662597
            2,  32,   8,  16,  16, 0.0010447989999988, 0.0001332759857177    ,  0.1942259650022606, 0.0001485347747802
            2,  32,   8,  32,  32, 0.0009362050000163, 3.170967102050781e-05 ,  0.1942647159994521, 3.421306610107422e-05
            2,  32,   8,  64,  64, 0.0014693739999529, 7.092952728271484e-06 ,  0.2033840799995232, 8.106231689453125e-06
